NPA,2023
2,"27.1%"
3,"10.6%"
4,"37.7%"
5,"23.4%"
6,"18.8%"
7,"32.6%"
8,"2.9%"
9,"15.4%"
10,"13.8%"
11,"19.8%"
12,"30.4%"
13,"19.3%"
14,"13.4%"
15,"15.6%"
16,"22.4%"
17,"25.7%"
18,"16.3%"
19,"21%"
20,"19.2%"
21,"38.5%"
22,"4.8%"
23,"29.3%"
24,"9.5%"
25,"28.1%"
26,"33.7%"
27,"30.4%"
28,"19.8%"
29,"12.5%"
30,"17.7%"
31,"28.9%"
32,"0%"
33,"7.9%"
34,"31.7%"
35,"19.2%"
36,"19.2%"
37,"11.4%"
38,"22.2%"
39,"29.2%"
40,"21.2%"
41,"28.8%"
42,"11.9%"
43,"21.4%"
44,"24.8%"
45,"26.1%"
46,"18%"
47,"8.2%"
48,"31.7%"
49,"29.8%"
50,"35.4%"
51,"14.7%"
52,"30.3%"
53,"32.2%"
54,"26.4%"
55,"20.3%"
56,"19.6%"
57,"8.2%"
58,"39.3%"
59,"16.8%"
60,"8.5%"
61,"27.6%"
62,"0%"
64,"13.6%"
65,"25.7%"
66,"12.9%"
67,"13.9%"
68,"27%"
69,"21.5%"
70,"17.4%"
71,"25.6%"
72,"13.5%"
73,"29.2%"
74,"6.9%"
75,"19.6%"
76,"24.5%"
77,"32.4%"
78,"21.2%"
79,"39%"
80,"20.2%"
81,"12.9%"
82,"12.1%"
83,"32.6%"
84,"5.6%"
85,"21.6%"
86,"28%"
87,"6.2%"
88,"18.3%"
89,"30.9%"
90,"26%"
91,"18%"
92,"18.6%"
93,"32.3%"
94,"32.7%"
95,"20.2%"
96,"19.8%"
97,"21.6%"
98,"29.2%"
99,"23.1%"
100,"41.4%"
101,"35.2%"
102,"22.4%"
103,"20.3%"
105,"21.5%"
106,"28.5%"
107,"29.7%"
108,"26.8%"
109,"24.6%"
110,"24.8%"
111,"28.5%"
112,"19.1%"
113,"25.4%"
114,"46.1%"
115,"28.8%"
116,"33.1%"
117,"28.1%"
118,"29.2%"
119,"20.7%"
120,"36.2%"
121,"17.9%"
122,"--"
123,"16.1%"
124,"13.4%"
125,"36%"
126,"22.5%"
127,"31.4%"
128,"23.4%"
129,"21.2%"
130,"17.4%"
131,"19.3%"
132,"15.5%"
133,"26.4%"
134,"34.8%"
135,"35.2%"
136,"21.7%"
137,"26.6%"
138,"19.3%"
139,"26.4%"
140,"22.1%"
141,"29%"
142,"19.2%"
143,"32.3%"
144,"27.4%"
145,"25.5%"
146,"21.7%"
147,"33.4%"
148,"32%"
149,"12.1%"
150,"32.6%"
151,"29.4%"
152,"32.4%"
153,"22.9%"
154,"29.2%"
155,"17.2%"
156,"22.6%"
157,"17.8%"
158,"24.6%"
159,"35.6%"
160,"22.7%"
161,"11%"
162,"37.1%"
163,"15.8%"
164,"31.8%"
165,"33.8%"
166,"16.5%"
167,"10.9%"
168,"23.1%"
169,"28%"
170,"33.6%"
171,"10.6%"
172,"34.9%"
173,"21.4%"
174,"20.2%"
175,"23.9%"
176,"19.8%"
177,"31.7%"
178,"12.3%"
179,"29.8%"
180,"31.2%"
181,"21%"
182,"6%"
183,"37.4%"
184,"26.4%"
185,"23.6%"
186,"25.3%"
187,"31.1%"
188,"38.6%"
189,"28.1%"
190,"15.8%"
191,"25.8%"
192,"27.7%"
193,"27.7%"
194,"31.1%"
195,"29%"
196,"17.4%"
197,"23.7%"
198,"22.6%"
199,"16.3%"
200,"30.5%"
201,"20.7%"
202,"22.6%"
203,"20.5%"
204,"20.9%"
205,"26.5%"
206,"27.2%"
207,"19.2%"
208,"32.4%"
209,"22.1%"
210,"9%"
211,"20.5%"
212,"37%"
213,"25.1%"
215,"30.4%"
216,"22.1%"
217,"22.8%"
218,"23.2%"
219,"0.8%"
220,"30.8%"
221,"3%"
222,"22.5%"
223,"13.3%"
224,"11.2%"
225,"30.2%"
226,"9.4%"
227,"32.2%"
228,"9.3%"
229,"34.9%"
230,"24.9%"
231,"9.6%"
232,"14.3%"
233,"18.9%"
234,"31.4%"
235,"23.7%"
236,"22%"
237,"30.5%"
238,"27.5%"
240,"19.8%"
241,"18.2%"
242,"33.3%"
243,"35.9%"
244,"27.4%"
245,"24%"
246,"19.1%"
247,"12.6%"
248,"23.4%"
249,"47%"
250,"6.9%"
251,"28.8%"
252,"10.3%"
253,"24.7%"
254,"2.2%"
255,"22.5%"
256,"28.4%"
257,"36%"
258,"21%"
259,"22.7%"
260,"13.8%"
261,"18.6%"
262,"21.4%"
263,"20.7%"
264,"16.6%"
265,"20.6%"
266,"22%"
267,"25%"
268,"26.3%"
269,"17.9%"
270,"8.3%"
271,"17.7%"
272,"21%"
273,"20.8%"
274,"22.8%"
275,"22%"
276,"27.4%"
277,"21.3%"
278,"14.9%"
279,"16%"
280,"51.6%"
281,"29%"
282,"18.6%"
283,"23.3%"
284,"19.4%"
285,"--"
286,"20.5%"
287,"29.2%"
288,"16.3%"
289,"35.4%"
290,"13%"
291,"23.3%"
292,"20.5%"
293,"9.2%"
294,"20.1%"
295,"27.9%"
296,"28.7%"
297,"35.2%"
298,"23.6%"
299,"26.7%"
300,"0.7%"
301,"21.3%"
302,"25%"
303,"21.2%"
304,"32.3%"
305,"21.7%"
306,"44.5%"
307,"26%"
308,"34.1%"
309,"27.7%"
310,"25.2%"
311,"1.6%"
312,"31.8%"
313,"28.8%"
314,"39.3%"
315,"2.8%"
316,"31.7%"
317,"47%"
318,"14.7%"
319,"23.9%"
320,"41%"
321,"13.4%"
322,"17.4%"
323,"21.6%"
324,"20.3%"
325,"22.6%"
326,"19.6%"
327,"18.2%"
328,"19.6%"
329,"27.9%"
330,"34.2%"
331,"5.3%"
332,"28.5%"
333,"22.9%"
334,"26.5%"
335,"26.9%"
336,"27.3%"
337,"20.9%"
338,"0.9%"
339,"1.1%"
343,"14.9%"
344,"20.5%"
345,"12.2%"
346,"32%"
347,"19%"
348,"14.1%"
349,"30.4%"
350,"32.7%"
351,"30.3%"
352,"19%"
353,"33.8%"
354,"20.8%"
355,"25.8%"
356,"25%"
357,"11.5%"
358,"17.9%"
359,"29.6%"
360,"25.5%"
361,"6.9%"
362,"19.8%"
363,"28.8%"
364,"20.3%"
365,"22.2%"
366,"3.1%"
367,"10.8%"
368,"21.5%"
369,"24.7%"
370,"41.7%"
371,"26.2%"
372,"19.7%"
373,"33.4%"
374,"10.9%"
375,"26.2%"
376,"12.3%"
377,"17%"
378,"12.9%"
379,"29.6%"
380,"27.3%"
381,"15.1%"
382,"19.1%"
383,"33.8%"
385,"27.4%"
386,"10.8%"
387,"28.3%"
388,"10.4%"
389,"22.9%"
390,"15.8%"
391,"19.2%"
392,"23.7%"
393,"20.8%"
394,"23.1%"
395,"9.9%"
396,"16.8%"
397,"7.8%"
398,"39.6%"
399,"27.4%"
400,"21.6%"
401,"17.6%"
402,"22.1%"
403,"19.9%"
404,"30.9%"
405,"23.7%"
406,"7.8%"
407,"20.1%"
408,"14.6%"
409,"22.1%"
410,"12%"
411,"25.9%"
412,"24.9%"
413,"28%"
416,"13.2%"
417,"30.2%"
418,"29%"
419,"26.7%"
420,"18.3%"
421,"27%"
422,"20.1%"
423,"25.5%"
424,"14.6%"
425,"16.1%"
426,"15.4%"
428,"25%"
430,"21.3%"
431,"14.9%"
432,"26%"
433,"25%"
434,"25.9%"
435,"12.2%"
436,"23.4%"
437,"23%"
438,"19.3%"
442,"24%"
443,"25.2%"
444,"23.8%"
445,"26.4%"
446,"24%"
447,"28.3%"
448,"24.3%"
449,"21.3%"
450,"24.3%"
451,"25%"
452,"20.7%"
453,"32.1%"
454,"16.4%"
455,"19.1%"
456,"10.7%"
457,"31.8%"
458,"21.5%"
459,"18.1%"
460,"24.1%"
462,"20.8%"
463,"23.8%"
464,"24.8%"
465,"28.6%"
466,"32.2%"
467,"32.5%"
468,"1.7%"
469,"28.3%"
470,"15.9%"
471,"16.8%"
472,"14.6%"
473,"15.4%"
474,"17.5%"
475,"27%"
476,"5.9%"
