NPA,2011,2013,2015,2017,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2017 Raw,2020 Raw,2022 Raw,2023 Raw
132,"19.6%","20.1%","17.8%","15.1%","15.1%","14.8%","--","55","56","50","42","42","42","0"
133,"80.5%","80.4%","96.6%","96.7%","96.9%","96.8%","97.1%","504","504","605","606","602","600","677"
134,"100%","100%","100%","100%","100%","100%","100%","449","449","449","449","477","478","480"
135,"92.1%","92.1%","92.1%","92.1%","93.3%","93.3%","94.4%","510","511","511","511","610","610","738"
136,"2.8%","2.7%","9.6%","5.1%","4.7%","5.3%","5.6%","21","21","77","42","40","47","53"
137,"78.2%","78.6%","78.6%","0%","0%","0%","--","426","433","431","0","0","0","0"
138,"99.2%","99.2%","99.2%","92.8%","99.6%","99.7%","99.7%","250","249","249","232","253","298","301"
139,"100%","100%","100%","96.8%","92.3%","98%","83.6%","558","661","660","639","516","550","475"
140,"90.6%","91.4%","91.1%","87.5%","97.2%","98.6%","83.5%","900","983","979","940","1,132","1,220","1,065"
141,"99.2%","99.1%","98.5%","98.5%","97.8%","98.5%","99.1%","357","341","335","333","315","319","322"
142,"100%","100%","99.6%","94.5%","95.4%","94.7%","94.7%","1,299","1,299","1,294","1,227","1,270","1,287","1,288"
143,"18.3%","18.5%","18.5%","19%","24.4%","24.5%","24.3%","113","115","115","118","165","166","164"
144,"99.9%","99.7%","100%","96.6%","96.5%","96.6%","96.7%","913","918","955","950","948","979","996"
145,"55.3%","55.6%","64.6%","43.2%","32.1%","37.6%","30.8%","357","359","417","279","208","243","199"
