NPA,2011,2013,2015,2016,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2020 Raw,2022 Raw,2023 Raw
37,"62","42","37","28","18","30","36","486","324","287","214","150","331","399"
38,"7","3","10","8","6","11","6","55","29","87","64","48","123","80"
39,"46","14","11","16","17","23","21","429","129","101","150","166","228","214"
40,"26","9","15","12","7","14","20","306","108","177","137","89","178","255"
41,"14","4","11","3","4","7","6","109","33","84","26","30","54","46"
42,"0","0","1","0","0","0","1","4","4","7","5","6","5","11"
43,"3","1","3","0","1","2","7","18","9","22","3","9","14","46"
44,"0","0","0","0","1","2","1","2","1","2","0","3","8","6"
45,"1","2","7","6","2","4","3","7","23","74","67","59","112","67"
46,"11","7","8","10","5","8","6","105","64","80","97","52","80","56"
47,"0","1","0","0","1","0","0","3","4","3","2","8","2","3"
48,"8","2","3","5","1","2","7","51","13","16","32","6","11","44"
49,"6","3","4","2","2","6","4","55","24","35","21","17","61","41"
50,"23","9","13","9","5","8","16","238","100","140","98","48","83","154"
51,"11","9","18","3","6","9","7","82","63","135","21","66","119","105"
52,"15","3","22","16","10","21","32","132","25","122","89","80","169","273"
53,"34","22","31","23","17","26","18","355","236","374","278","179","362","255"
54,"38","65","57","86","37","47","36","211","368","318","481","208","264","208"
55,"9","6","13","5","7","4","13","71","49","106","44","56","31","120"
56,"2","1","5","1","2","4","3","6","4","17","2","8","13","10"
57,"11","4","4","1","3","0","2","76","27","27","7","22","4","13"
58,"14","12","8","2","14","4","19","67","58","37","10","67","19","93"
59,"16","8","14","5","4","8","10","183","84","152","54","47","104","130"
60,"3","1","3","1","1","1","1","32","8","30","19","11","21","21"
61,"18","11","18","24","11","16","14","78","48","79","102","50","68","63"
62,"0","0","--","0","--","--","--","0","0","0","0","0","0","0"
64,"6","5","8","7","4","3","4","121","97","164","137","92","70","95"
65,"0","0","0","1","1","2","1","0","2","3","5","7","29","10"
66,"1","0","1","0","0","4","2","7","3","20","0","4","60","34"
67,"1","0","1","0","1","3","1","2","0","7","3","8","22","5"
68,"7","7","14","11","6","7","5","84","79","158","120","70","83","59"
69,"2","1","0","1","1","2","2","14","11","3","6","12","18","24"
70,"48","24","19","34","26","29","30","252","126","99","175","135","153","157"
