NPA,2011,2013,2015,2016,2017,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
352,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
353,"12.9%","12.6%","12.7%","12.7%","12.7%","13%","9.6%","10.3%","13.4%","13.2%","125","125","127","127","127","130","103","113","149","130"
354,"50.2%","50.3%","50.3%","50.3%","0%","3.3%","2.2%","2.2%","0%","3.4%","508","509","509","509","0","33","22","22","0","34"
355,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
356,"63.2%","63%","63.4%","63.2%","63.1%","75.7%","50.9%","50.1%","58.3%","60.9%","1,185","1,186","1,196","1,196","1,195","1,458","1,038","1,038","1,206","1,174"
357,"34%","34%","36%","36%","0%","37.6%","42.4%","40.4%","38.6%","39.9%","476","477","519","518","0","546","541","498","478","470"
358,"56.1%","56%","56%","60.7%","19.9%","61.6%","49.7%","49.6%","72.9%","54.7%","840","839","839","1,010","279","1,201","1,361","1,349","1,978","751"
359,"0%","0%","0%","0%","0%","0%","4.3%","4.3%","0%","0%","0","0","0","0","0","0","48","48","0","0"
360,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
361,"29.2%","29.5%","0%","0%","0%","0%","0.6%","0.5%","0%","1.6%","133","133","0","0","0","0","10","10","0","10"
362,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
363,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
364,"55%","54.9%","54.8%","54.7%","10.2%","64.9%","61.7%","77.7%","75.7%","81.1%","615","616","626","628","118","765","651","820","799","898"
365,"87.8%","90.3%","90.3%","90.4%","69.1%","94.9%","66.3%","66.3%","90.2%","94.7%","570","745","746","747","569","777","540","541","737","771"
366,"100%","100%","100%","100%","66.4%","100%","42.3%","81.4%","73%","74.1%","583","442","459","441","292","440","172","332","297","304"
367,"59.5%","61%","87.4%","89.4%","88.8%","89.5%","66.9%","87.8%","87.8%","90.1%","1,515","1,669","2,380","2,766","2,750","2,799","2,323","3,042","3,046","2,978"
368,"77.4%","81.8%","77.3%","85.1%","61.8%","79.6%","51%","60.5%","29.3%","54.6%","916","969","915","1,007","732","942","603","715","346","646"
369,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
370,"88.4%","87.1%","100%","86.9%","66.9%","59.9%","69.6%","81.1%","82.3%","80.6%","1,085","1,076","1,217","1,059","816","741","844","989","1,006","1,033"
371,"11.6%","11.6%","11.6%","11.6%","0%","0%","5.3%","0%","0%","5.4%","261","261","261","261","0","0","118","0","0","120"
372,"9.9%","9.7%","19.7%","20%","20%","18.9%","18.1%","17.4%","31.3%","18.1%","418","425","867","883","887","842","811","811","1,363","834"
373,"27.4%","27.6%","27.6%","27.5%","0%","22.7%","16.2%","0%","0%","0%","304","306","306","306","0","255","182","0","0","0"
374,"50.6%","50.3%","50.5%","50.7%","50.7%","65.7%","67.3%","67.5%","57.3%","69.3%","581","572","575","576","577","749","707","711","604","772"
375,"37.6%","37.2%","37.2%","37.4%","37.5%","43.3%","41.7%","42%","36.2%","45.2%","323","321","322","324","325","405","374","374","319","390"
376,"11.9%","12.3%","20.5%","23.6%","23.5%","24.5%","28%","15%","11.6%","24.4%","171","178","299","358","356","372","421","227","176","368"
377,"3.2%","3.1%","3.1%","3%","3%","0%","0%","0%","0%","0%","63","62","62","62","62","0","0","0","0","0"
378,"64.8%","72.3%","72.7%","73%","69.6%","75.2%","80.4%","75.8%","73.1%","73.8%","1,364","1,529","1,560","1,582","1,508","1,798","2,363","2,258","2,208","1,597"
379,"35.7%","36.5%","36.9%","39.3%","42.6%","40.9%","41.7%","41.7%","54.9%","41.9%","466","478","487","520","574","557","569","569","750","561"
380,"6.4%","6.4%","6.4%","6.4%","2.1%","6.4%","5.8%","1.7%","2.1%","7.1%","117","117","117","117","39","118","107","31","39","131"
381,"47%","47.1%","15.4%","59.5%","63.3%","59%","70.3%","67.7%","68.5%","55.7%","823","823","269","1,233","1,278","1,167","2,104","2,027","2,053","950"
382,"0%","0%","0%","0%","0%","0%","0%","0%","72.3%","0%","0","0","0","0","0","0","0","0","656","0"
383,"48.2%","78.1%","78.1%","78.1%","78.1%","62.2%","40.7%","40%","60.5%","59.5%","770","1,242","1,242","1,242","1,242","989","656","656","992","948"
385,"0.3%","0.3%","26.1%","26.1%","25.5%","0%","0%","0%","0%","23.7%","6","6","519","518","505","0","0","0","0","462"
386,"31.1%","31.1%","31%","30.9%","30.8%","28.2%","24.1%","24.9%","27.1%","20.5%","263","263","262","260","255","245","276","296","338","205"
387,"56.4%","56.6%","45%","44.9%","45.2%","39.6%","38.2%","38.2%","34.9%","39.7%","536","536","425","423","425","370","335","336","375","362"
388,"38.7%","37.2%","47.4%","48%","58.9%","63.7%","67.5%","69%","67.9%","61.4%","324","308","462","473","853","938","1,050","1,061","1,146","725"
389,"18.9%","17.6%","17.6%","17.5%","17.6%","14.9%","12.9%","39.1%","37.9%","15.7%","627","627","627","627","626","548","424","1,284","1,250","553"
390,"93.4%","93.4%","93.3%","93.4%","76.3%","93.9%","100%","100%","100%","100%","739","737","729","731","600","751","878","888","892","798"
391,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
392,"26.9%","27.9%","28%","28%","8.7%","22.3%","26.1%","33.2%","38.9%","33.9%","1,085","1,125","1,146","1,145","358","927","1,008","1,276","1,494","1,345"
393,"32.9%","32.8%","34.2%","21.4%","17.9%","22%","26.5%","60.4%","56.9%","41.6%","961","960","960","574","475","584","1,025","2,339","2,351","1,221"
394,"9.4%","9.1%","12.4%","9.6%","0.1%","30.3%","22.5%","22.5%","6.7%","4.2%","134","130","179","139","1","437","320","322","97","57"
