NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023
249,"44.1%","38.8%","41.9%","43.1%","30.9%","29.5%","26.3%","30.8%","35.9%","41.3%","39.2%"
250,"8.2%","9.5%","9.2%","9.3%","6.5%","5.8%","4.6%","6.2%","8.4%","4.6%","5.3%"
251,"7.9%","9.6%","12.3%","12.2%","10.7%","10.7%","7.8%","11%","13.2%","17.9%","15.9%"
252,"4.9%","7.1%","5.3%","5.3%","4.1%","5%","3.5%","6.9%","8.2%","11.8%","12.8%"
253,"2.2%","1.8%","1.6%","1.9%","1.7%","0.9%","1.6%","2.4%","3.2%","3.7%","3.4%"
254,"5.5%","6.8%","6.3%","3.6%","3.7%","4%","4.2%","7.8%","12.7%","19.3%","24.2%"
255,"2.1%","2.1%","1.3%","1.3%","2.2%","1.8%","1.3%","2%","3.1%","5%","4.7%"
256,"3.6%","1.6%","1.2%","1.1%","2.1%","1.5%","1.2%","1.9%","2.7%","5.1%","5%"
257,"4.4%","4.6%","3.9%","4%","3.3%","2.6%","3.2%","3.9%","4.8%","7.5%","6.9%"
258,"27%","28.8%","28.8%","29.2%","22.9%","18.6%","17%","21.7%","23.9%","28%","27%"
259,"19.9%","20.4%","22%","22.7%","19.8%","18.1%","17.7%","22.9%","27.2%","31.4%","28.4%"
260,"23.1%","23.9%","27.2%","28.5%","21%","19.2%","11.4%","14.9%","17.3%","21.8%","20%"
261,"8.9%","8.1%","9.2%","9.5%","5.1%","5.5%","3.4%","4.2%","5.8%","8.1%","7.6%"
262,"1.2%","1%","1.6%","1.7%","1.1%","1.4%","0.7%","1%","1.6%","2%","1.9%"
263,"1.5%","2%","2.2%","2.3%","1.9%","2.1%","0.7%","1.2%","1.7%","2.1%","1.7%"
264,"8.9%","10.6%","12.4%","12.4%","9.8%","9.3%","8.3%","10.1%","13.4%","19.7%","19.3%"
265,"9%","7.6%","10.4%","11.2%","7.7%","6.3%","7.2%","9.6%","10.9%","13.9%","12.2%"
266,"9.8%","10%","10%","10.3%","8.1%","7.4%","8.3%","9.5%","14%","18.9%","16.3%"
267,"8.7%","7.3%","6.5%","6.7%","6.6%","6.4%","5.4%","7.6%","8.9%","12.4%","11.4%"
268,"23.8%","22.6%","25.7%","26.5%","24.5%","18.6%","17%","21.3%","24.7%","29.2%","24.4%"
269,"6.4%","4.3%","2.9%","3%","3.7%","3.5%","2.1%","3%","4.2%","6.3%","6.4%"
270,"36%","35.7%","26.5%","26.8%","26.8%","22.5%","18.7%","24.6%","27.8%","31.6%","30.4%"
271,"37.7%","37.1%","36.7%","38.6%","29.6%","26.9%","19.1%","23.8%","26%","29.6%","28.8%"
272,"22.9%","21.2%","19.1%","20%","21.2%","12.8%","10.9%","15%","23.7%","29%","28.2%"
273,"15.3%","17%","11.8%","12%","12.8%","10.4%","8.8%","12.9%","14.4%","21.6%","21.7%"
274,"11%","11.3%","10.8%","11.8%","8.5%","7.7%","8.7%","13.7%","23.2%","32%","25.6%"
275,"8.8%","9.7%","9.3%","9.8%","8%","6.2%","9.6%","13.8%","16.8%","22.4%","16.3%"
276,"9.2%","7.6%","7.6%","8%","8%","6.8%","8.6%","9.8%","12%","16.3%","14.5%"
277,"9%","8.5%","8.5%","8%","6.8%","6.3%","4.8%","7.5%","9.5%","14.5%","13.4%"
278,"13%","11.2%","11.2%","11.7%","10.4%","10.2%","14.6%","20.1%","25%","37.6%","37.2%"
279,"6.7%","5.9%","8%","8.1%","8.1%","9.5%","7.5%","12.9%","15.9%","21.1%","20.6%"
280,"31.3%","48.1%","58.2%","60.1%","48.9%","38.6%","25.2%","30.6%","33.3%","38.7%","35.4%"
281,"18.8%","17.5%","15.1%","15.7%","16.6%","16.3%","10.9%","19.8%","20.7%","28.9%","20.7%"
282,"17%","16.5%","18%","18.1%","17.7%","14.8%","15.2%","19.6%","24.8%","32.1%","29.2%"
283,"18.5%","20.1%","19.6%","20.3%","18.4%","14.3%","16.6%","19.9%","21.4%","28.2%","26.9%"
284,"0.7%","0.6%","0.8%","0.8%","0.4%","0.1%","0.9%","1.5%","2.3%","4.2%","3.7%"
285,"--","--","--","--","--","--","--","--","--","--","--"
286,"--","--","--","--","--","--","14.3%","14.7%","16.1%","22.9%","23.7%"
287,"10.8%","9.6%","10.9%","11.1%","11.1%","10.6%","6.4%","9.6%","13.4%","18.8%","18.1%"
288,"5.1%","3.3%","3.2%","3.1%","2.4%","2.8%","3.6%","4.7%","7.3%","10.4%","9.9%"
289,"6.4%","6.6%","8.2%","8.4%","7.2%","7%","6.1%","8.1%","10.9%","16.4%","17.1%"
290,"53.4%","56.6%","31.9%","33.6%","20.6%","27.2%","14%","23.5%","26.9%","37.7%","44.5%"
291,"42%","28.8%","32.7%","34.1%","34.4%","33.6%","24.8%","31.5%","38.1%","44.8%","37.4%"
292,"49.7%","48.8%","49.6%","52.7%","48.6%","37.8%","47.4%","55.9%","60.9%","63.9%","59.3%"
293,"54.6%","50.7%","65.6%","63.5%","46.7%","42.1%","34.7%","41.2%","44.6%","50.1%","41.7%"
294,"57.6%","52.3%","59.4%","64.3%","51.1%","45.6%","44.7%","49.1%","54.7%","68.7%","69.3%"
295,"48.2%","41.5%","48%","51.9%","43.3%","40.9%","42.4%","48.6%","52.4%","59.7%","55.6%"
296,"9.1%","6.4%","9.4%","9.4%","6.6%","4.5%","5.1%","6.9%","8.8%","12.5%","11.9%"
297,"0.2%","0%","0.2%","0.2%","0.2%","0.2%","0.6%","0.6%","0.6%","0.8%","--"
298,"13.3%","14%","14%","14.5%","9.8%","6.4%","10%","17.7%","22.1%","28%","25.4%"
299,"17.2%","15%","18.2%","18.6%","14.2%","11.2%","12.3%","16.1%","19%","24.6%","22.9%"
300,"17.7%","17.2%","11.2%","11.2%","8.7%","0.4%","4.9%","9.4%","13.8%","18.2%","3.2%"
301,"12.6%","11.7%","12.1%","12.3%","11.2%","8.6%","7.8%","12.2%","12.7%","17.2%","16%"
302,"7.8%","7.9%","7.4%","7.4%","6%","5.3%","5.7%","9.1%","11.5%","13.1%","9.3%"
303,"12.8%","12.3%","14.2%","14.8%","11.6%","11.6%","10.7%","14.1%","18.1%","20.6%","18.6%"
304,"72%","34.5%","38.5%","40%","30.5%","28.3%","28.6%","31.7%","39.5%","47.8%","35.4%"
305,"24.9%","23.5%","28.7%","30.3%","19.6%","18.5%","16.8%","23.6%","29.7%","37.4%","34.6%"
306,"48.9%","66.9%","64.1%","63%","53.9%","56%","71.7%","80.3%","83.2%","93.3%","89.5%"
307,"18.3%","18.8%","18.8%","14.8%","12.8%","11%","11.5%","14.3%","18.9%","23.4%","20%"
308,"1.7%","1.6%","2.7%","2.7%","1.7%","1.4%","1%","1.4%","1.4%","2.5%","3.1%"
309,"4.9%","3.1%","3.5%","3.7%","2.3%","1.8%","1.4%","2.3%","3%","4.5%","3.7%"
310,"3.8%","4.6%","5.2%","5.6%","3.8%","3.9%","3.5%","4.3%","4.8%","7%","7.2%"
311,"42%","38.5%","47.8%","50.1%","39.8%","38.8%","29.6%","33.2%","36.9%","39.9%","36.6%"
312,"40.9%","41.5%","45.8%","47.4%","38.5%","35.9%","28.1%","32%","37.4%","43.3%","39.6%"
313,"16.6%","16.2%","17.5%","18.2%","15.1%","14.2%","10.6%","15.8%","18.6%","24.2%","26.4%"
314,"33.2%","31.6%","34.7%","36.8%","29.1%","26.7%","21.7%","23.5%","29.1%","35.1%","34.1%"
315,"7.9%","5.4%","4.9%","4.8%","3.4%","3.3%","1%","1.9%","2.7%","2.9%","2.4%"
316,"31.6%","27.2%","27.2%","28.1%","25.8%","23.1%","21.3%","26.6%","30.7%","37.2%","31.9%"
317,"61.7%","62.6%","55.6%","59.4%","49.6%","45%","47.2%","51.3%","56.3%","57.1%","53.6%"
318,"3.8%","3.2%","4.1%","4.3%","5.1%","4.5%","6.5%","6.8%","8.3%","13.4%","12.8%"
319,"13.8%","13.8%","15.6%","16.3%","11.8%","11.6%","8.3%","12.4%","15.7%","20.9%","18.9%"
320,"3.9%","3.9%","1.9%","2%","1.8%","1.5%","0.3%","0.8%","1.3%","2%","1.1%"
321,"50.1%","50.9%","56.1%","58.7%","47.2%","42.3%","34.2%","40.6%","48.4%","59.3%","58.3%"
322,"21.1%","22.2%","24.6%","25.2%","19.1%","18.8%","17.4%","23.1%","22.5%","26.8%","23.9%"
323,"29.3%","33.6%","29%","30.4%","27.9%","23%","22.1%","28.1%","32.2%","38.2%","35.3%"
324,"3.4%","5.4%","7.8%","8.4%","4.7%","4.3%","3.3%","5.3%","7.7%","14.1%","15.1%"
325,"20.1%","19.9%","22.8%","23.3%","21.2%","19.4%","15.1%","17.8%","21.6%","25.6%","21.6%"
326,"53.2%","56.3%","47.5%","49.4%","35%","35.5%","28.9%","31.7%","36.1%","42.5%","38.1%"
327,"44.1%","44.9%","49.8%","51.9%","46%","43.6%","33.2%","38.5%","42.5%","48.5%","62.5%"
328,"19.2%","14.8%","21.7%","23.3%","16.8%","14.3%","16.8%","19%","21.9%","31.8%","29.2%"
329,"20.9%","17.8%","22%","23.3%","18.6%","15.9%","14.6%","21.3%","24.8%","30.6%","27.1%"
330,"23.8%","20.1%","22.1%","21.4%","20.8%","16.9%","16.2%","19.9%","23.8%","30.2%","32.9%"
331,"26.5%","11.4%","11.7%","11.9%","12.7%","14.6%","8.4%","14.5%","19.1%","29.6%","29.6%"
332,"21.6%","16.5%","17%","16.7%","13.6%","11.9%","12.5%","15.6%","19.8%","24.5%","23.8%"
333,"23.9%","24.9%","27.6%","27.6%","23.4%","18.9%","15.2%","19.5%","22.8%","28.7%","28.6%"
334,"4.7%","3.8%","2.7%","2.8%","1.7%","1.2%","1.4%","2.1%","3.3%","8%","8%"
335,"3.9%","3.8%","3.4%","3.4%","4%","3.1%","2.1%","3.3%","3.8%","4.9%","3.8%"
336,"11.4%","7.9%","9.4%","9.7%","9.2%","8.2%","9.4%","13.4%","16.2%","21.8%","20.4%"
337,"5.7%","4.7%","5.8%","5.8%","5.5%","5.4%","7.1%","7.8%","9.6%","12.2%","11.2%"
338,"41.5%","27.2%","25.4%","26.9%","17.5%","15.2%","6.3%","7.2%","8.7%","8%","6.5%"
339,"7.5%","1.6%","0.6%","0.6%","0.7%","0.6%","0.5%","1.1%","1.3%","5.1%","3.2%"
343,"15.1%","8.4%","9.1%","9.2%","7.2%","5.7%","4.6%","5.6%","6.3%","7.4%","6.6%"
344,"24.1%","18.1%","18.3%","18.5%","15.5%","12.1%","8.6%","9.6%","11.8%","13.9%","12.6%"
345,"17.8%","15.7%","21.2%","22%","17%","14.8%","14.3%","18.2%","22.7%","37.2%","39.3%"
346,"42.6%","35.5%","39.3%","40.9%","34.6%","32%","27.7%","34.3%","36.3%","41.1%","39.1%"
347,"48.5%","39.8%","27.9%","28.9%","19.6%","16.8%","11.3%","14.1%","17%","20.9%","17.5%"
348,"13.9%","14.9%","14.5%","15.1%","11.4%","11%","11.2%","13.2%","15.6%","20%","18.9%"
349,"9.3%","9.2%","8%","8%","4.4%","4%","1.9%","2.8%","2.9%","4.5%","5.3%"
350,"2.5%","1.9%","1.2%","1.2%","1.5%","1.4%","1.3%","2%","3.3%","4%","2.8%"
351,"9.8%","8.1%","7.8%","7.9%","5.1%","3.8%","6.2%","8.5%","8.6%","11.3%","10.3%"
352,"3.7%","5.2%","5%","5.1%","3.5%","3.6%","3.7%","5%","6.2%","9.6%","7.8%"
353,"2.9%","1.9%","2.3%","2.3%","2.4%","2.3%","1.4%","1.4%","1.8%","1.9%","1.4%"
354,"5.4%","6%","4.1%","4.2%","4.5%","3.6%","4%","5.8%","7.5%","10.5%","10.2%"
355,"3.3%","2.6%","1.8%","1.8%","2.4%","2.5%","2.3%","3.9%","6.2%","8%","6.4%"
356,"1.4%","1.5%","1.2%","1.2%","1.3%","1.1%","0.7%","1.8%","2%","2.8%","3.1%"
357,"7.6%","8.2%","7.9%","8.4%","7.1%","7.1%","5.1%","6.5%","6.9%","7.9%","7.1%"
358,"1.4%","1.6%","1.7%","1.5%","2.4%","1.5%","0.7%","1.1%","1.3%","1.6%","1.7%"
359,"1%","1.1%","0.9%","0.9%","0.6%","0.4%","0.1%","0.6%","0.6%","0.6%","1%"
360,"14%","12.1%","12.9%","13.2%","13%","10.6%","12.7%","17.5%","20.9%","26.6%","25.4%"
361,"51.8%","47.8%","58.7%","47.7%","25.9%","20.7%","12.8%","15.5%","17.4%","21.3%","21.7%"
362,"49.1%","49.5%","50.1%","53.2%","41.4%","39.2%","33.2%","38.3%","44.5%","51.8%","47.6%"
363,"52.2%","43.2%","49.1%","51.8%","45.7%","41.3%","36.2%","43.8%","47.2%","53.2%","47.8%"
364,"0.1%","0.1%","0.1%","0.1%","0.1%","0.2%","0.1%","0.2%","0.2%","0.2%","0.2%"
365,"21.3%","14.1%","17.4%","18.4%","13.3%","12.4%","11.1%","13.6%","16.8%","22.1%","22%"
366,"31.7%","27.1%","23.1%","25.5%","15.4%","14.3%","10.8%","14.1%","18%","22.5%","21%"
367,"3.6%","2.7%","3.1%","2.8%","2%","1.7%","1.1%","1.9%","2.5%","3.6%","3%"
368,"13.9%","11.5%","14.5%","14.9%","10.8%","8.2%","8.3%","10.8%","13%","16.5%","15.6%"
369,"59.3%","55.6%","67.1%","63.1%","53.6%","46.8%","35.1%","38.8%","44%","44.8%","40.2%"
370,"78.1%","64.4%","72.3%","75.2%","58.6%","46%","53.6%","60%","65.7%","172.4%","187.4%"
371,"29.3%","40.3%","42.1%","43.5%","38.1%","36.5%","27.9%","34.5%","40.9%","50.6%","50.8%"
372,"4.1%","3.8%","4.1%","4.1%","3.1%","3%","3.8%","5.6%","6.5%","9.4%","8.5%"
373,"1.1%","1.6%","1.7%","1.7%","1.5%","1.1%","1.2%","1.4%","1.4%","2.5%","2.6%"
374,"45.9%","43.1%","53.7%","56.5%","47.2%","42.5%","33.4%","38.8%","42.8%","49%","46.2%"
375,"0.1%","0.1%","0.2%","0.2%","0.3%","0.3%","0.2%","0%","0%","0%","0.1%"
376,"13.4%","11.7%","12.5%","12.6%","12.2%","11.2%","9.8%","13.1%","15.9%","21.2%","19.8%"
377,"10.9%","10.1%","11%","11.3%","10.6%","9.9%","8.4%","10.9%","13.2%","17.6%","17.9%"
378,"5.6%","3.8%","4%","4%","2.5%","1.9%","1.2%","2%","2.5%","3%","2.6%"
379,"0.5%","0.5%","0.4%","0.4%","0.3%","0.2%","0.4%","0.6%","0.6%","0.9%","1.2%"
380,"0.8%","1%","0.7%","0.9%","0.7%","0.5%","0.4%","0.3%","0.4%","0.7%","1.1%"
381,"13.6%","11.4%","10.8%","9.7%","8.3%","8.7%","5.3%","6.2%","7.2%","8.9%","7.2%"
382,"29.8%","31.2%","29.8%","31.3%","25.2%","22.2%","17.1%","21.7%","23.3%","26.7%","24.9%"
383,"20%","20.5%","20.1%","20.6%","17.4%","16.6%","10.7%","12.7%","15.3%","19.6%","19.4%"
385,"51.7%","55.3%","58.6%","61.1%","47.3%","45.4%","35.5%","41.6%","45.9%","53.6%","49%"
386,"40.8%","34.5%","28.2%","29.3%","18%","14.6%","11.3%","13.5%","15.4%","16.8%","14.8%"
387,"43.1%","53.2%","59.3%","63.1%","52.4%","47.3%","31.4%","37.7%","41.6%","50.4%","57%"
388,"30.1%","26.4%","20.2%","21%","9.2%","8.6%","6.6%","8.3%","9.7%","12.5%","11.1%"
389,"23.3%","24.1%","24.3%","25.1%","19.3%","17.5%","13.5%","15.8%","18.2%","23.7%","23.8%"
390,"23%","22.2%","21.9%","22.4%","16.4%","15.8%","11.8%","14.4%","17%","23%","19.5%"
391,"2.8%","2.2%","3.4%","3.8%","2.7%","2.2%","2.1%","2.4%","2.4%","2.9%","2.3%"
392,"0.7%","0.6%","0.6%","0.6%","0.5%","0.4%","0.4%","0.6%","0.7%","0.9%","0.7%"
393,"10%","7.4%","7.2%","7.9%","5.6%","5.2%","3.5%","4.4%","5.5%","6.9%","6.8%"
394,"14.9%","14.8%","13.3%","13.8%","10.8%","10.2%","7.8%","9.9%","11.5%","14.8%","13%"
395,"5.8%","5.4%","4.8%","5.1%","4.2%","3.2%","2.7%","3.9%","6.2%","9.7%","8.8%"
396,"8.8%","10.1%","8.7%","8.9%","8.3%","7.6%","4.3%","5.3%","6.6%","8.4%","9.6%"
397,"3.6%","3.8%","3.1%","3%","2.7%","3%","2.8%","6%","6.9%","9.6%","8.7%"
398,"5.4%","5.3%","2.2%","2.2%","3.8%","2.2%","0.6%","3%","3%","4.7%","4.7%"
399,"3.3%","3.4%","2.3%","2.4%","1.8%","1.6%","2.6%","4%","5%","6.5%","4.2%"
400,"1.7%","1.4%","0.8%","1%","0.5%","0.7%","0.5%","0.9%","1.3%","2.2%","1.7%"
401,"5.1%","5.5%","5.3%","5.2%","5.6%","5.4%","3.2%","4.4%","5.7%","8%","9.7%"
402,"3.4%","3%","3.8%","3.8%","3.1%","3%","2.3%","3.7%","3.9%","7.5%","7.8%"
403,"4.5%","4%","3%","3%","1.3%","1.2%","1.5%","2.1%","2.6%","4.1%","3.8%"
404,"13.7%","14.1%","14.7%","15%","14%","12.8%","9.6%","13.1%","14.5%","19.2%","16.1%"
405,"7.2%","4.5%","3.2%","3.4%","3.1%","2.2%","2.9%","4%","4.4%","6.8%","6.7%"
406,"2.6%","3.3%","4.4%","4.6%","3.4%","1.8%","2.5%","3.1%","4.3%","5.3%","6.7%"
407,"7%","5.6%","6.6%","6.6%","5.5%","4.9%","4.8%","5.8%","6.8%","9.4%","10.2%"
408,"3.1%","3.8%","3.5%","3.5%","3.3%","3.4%","3.2%","4.3%","4.6%","4.8%","4.9%"
409,"1.4%","0.9%","0.6%","0.6%","0.4%","0.3%","0.2%","0.4%","0.5%","0.8%","0.6%"
410,"2.4%","1.2%","2.3%","2.3%","1.3%","1.5%","1.6%","2.5%","2.7%","3.5%","2.5%"
411,"9.6%","8.7%","8.3%","8.4%","6.3%","4.4%","4.6%","7.2%","7.9%","10.8%","7.2%"
412,"4.3%","2.3%","3.3%","3.3%","1.8%","2.6%","1.4%","1.2%","1.9%","3.3%","3.6%"
413,"1.2%","1.2%","1.6%","1.6%","1.2%","1.3%","0.7%","1.1%","1.3%","1.5%","1.3%"
416,"6.6%","5%","4%","4.4%","3.3%","4.2%","4.4%","7.1%","10.2%","14.9%","12.6%"
417,"4.6%","4.8%","4%","4%","3.1%","2.5%","2.5%","3.6%","4.7%","7.6%","6.8%"
418,"2%","2.3%","1.3%","1.4%","1.7%","1.7%","1.7%","3%","4.2%","6.4%","5.7%"
419,"1%","1%","0.4%","0.4%","0.3%","0.3%","1.1%","1.5%","1.6%","1.2%","1.6%"
420,"3.1%","2.4%","2.5%","2.5%","1.9%","1.6%","1.2%","0.9%","2.1%","2.6%","2.5%"
421,"3.3%","2.5%","1.9%","1.7%","1.3%","0.8%","1.8%","1.9%","2%","2.7%","3%"
422,"15.7%","18.1%","14.4%","14.8%","12.9%","10.3%","7.6%","10.9%","12.7%","15.1%","14.7%"
423,"6.3%","4.6%","4.4%","4.4%","2.5%","1.9%","1.1%","1.9%","3%","4.1%","4.7%"
424,"1.6%","1%","1.3%","1.4%","1.5%","1.4%","1%","1.9%","1.7%","2%","1.8%"
425,"2.2%","2.7%","2.3%","2.3%","1.6%","1.9%","2%","3%","3.3%","4.6%","4.6%"
426,"6.2%","7.8%","6.4%","6.6%","6.1%","6.5%","6%","7.7%","9.3%","12.9%","11.7%"
428,"15.5%","15.4%","17.4%","17.6%","11.9%","9.7%","8.6%","10.6%","11.8%","13.2%","12.2%"
430,"21.1%","17.2%","17.7%","18%","16.7%","14.3%","19.3%","24.7%","29.8%","38.6%","33.6%"
431,"10.6%","11.6%","11.9%","12.3%","10.8%","9.7%","9.2%","11%","11.7%","18%","16.1%"
432,"4.8%","4.8%","7.8%","7.8%","6.3%","5.1%","4.5%","4.9%","6.6%","8.6%","7.1%"
433,"1.6%","1.6%","1.3%","1.4%","1.3%","0.8%","0.7%","0.5%","1%","1.4%","1.6%"
434,"3.3%","2.3%","1.8%","1.8%","1.1%","1.1%","1.2%","1.9%","2.3%","2.7%","2.5%"
435,"1.9%","0.9%","1.5%","1.4%","--","2.8%","2.2%","3.4%","2.6%","4.5%","5.4%"
436,"10.8%","11.6%","12.2%","12.3%","9.1%","8.3%","7.1%","10%","12.5%","16.1%","15.2%"
437,"8.9%","7.4%","6.9%","6.8%","5.8%","5.8%","4%","5.1%","6.4%","8.6%","8.6%"
438,"3.1%","5.5%","5.4%","5.4%","4.5%","3.5%","3.4%","3.9%","4.1%","5.1%","4.6%"
442,"19.5%","18.6%","18.8%","19%","17.8%","15%","11.5%","14.3%","17.1%","20.3%","21.9%"
443,"5%","4.2%","2.7%","2.7%","2.7%","3%","4.2%","4.2%","5.4%","7.3%","7.5%"
444,"11.6%","10.1%","12.5%","12.8%","10%","8.4%","5.9%","8.7%","10.6%","13.4%","13.3%"
445,"2.8%","1.9%","2.1%","2.2%","2.6%","1.5%","1.9%","2.6%","2.9%","4%","3.2%"
446,"6%","5.4%","7.3%","7.3%","4.8%","5.1%","5%","6.8%","8.4%","11.5%","12.2%"
447,"3.8%","2.6%","3.4%","3.3%","2.5%","2.1%","2.4%","3.7%","4.3%","6.1%","5.2%"
448,"4.7%","4.2%","3.4%","3.2%","3.4%","3.8%","2.1%","3.9%","5.5%","6.9%","5.1%"
449,"0.6%","0.6%","0.9%","1%","0.9%","0.4%","0.3%","0.4%","0.6%","0.5%","0.9%"
450,"1.9%","2.2%","2.1%","2.1%","2.1%","1.3%","1%","1.8%","2.7%","3.7%","4.5%"
451,"0.9%","0.7%","0%","--","1.1%","0.9%","0.7%","0.7%","0.7%","1.4%","1.5%"
452,"4.1%","4%","3.8%","4%","2.7%","2.8%","2.7%","3.8%","4.9%","9%","8.8%"
453,"12.2%","12.5%","10.1%","10.3%","10%","9%","4.6%","6.3%","7.7%","8.4%","6.9%"
454,"4.7%","3.8%","4.2%","4.2%","3.3%","2.6%","2.1%","3%","3.5%","4.6%","5.2%"
455,"3.9%","2.9%","4.1%","4.3%","3.3%","3.2%","2%","2.7%","4.4%","5.1%","5%"
456,"1.6%","0.3%","2.4%","2.8%","--","2%","0.9%","0.9%","1%","1.1%","1.2%"
457,"1.2%","2.7%","1.6%","1.6%","0.5%","1.5%","0.3%","0.8%","0.8%","0.6%","0.9%"
458,"1.9%","1.2%","2.4%","2.5%","2.3%","2.8%","1.1%","3.2%","4.3%","6%","4.6%"
459,"6.6%","7%","8.1%","8.1%","6.2%","6%","6.7%","7%","8.5%","12.4%","13.7%"
460,"10.1%","8.8%","10.1%","10.9%","9.8%","7.5%","6.3%","7.2%","9.1%","12.7%","12.9%"
462,"8.2%","7.7%","7.4%","7.7%","5.2%","3.7%","2.5%","4.3%","4.5%","7.8%","6.3%"
463,"17.3%","16.1%","17.4%","17.7%","14.6%","14%","11.6%","13.9%","16.1%","18.7%","20.3%"
464,"2.6%","2%","1.6%","1.7%","1.2%","1.2%","1.6%","2%","2.5%","3.2%","3.2%"
465,"7.3%","7.3%","7.3%","7.5%","5.8%","4.3%","3.2%","5.9%","6.8%","10%","9.2%"
466,"8.2%","6.8%","7.3%","7.4%","7.7%","6.3%","6.6%","9.7%","11.3%","13.9%","12%"
467,"3.5%","2.5%","2.6%","2.7%","2.4%","1.8%","1.1%","2.5%","2.6%","2.9%","2.4%"
468,"0.3%","0.2%","0%","--","--","0%","0%","0%","0.1%","0.2%","0.3%"
469,"0.8%","0.5%","0%","--","0.9%","0.9%","0.5%","1%","1.1%","1.1%","1%"
470,"1.3%","0.7%","0.4%","0.5%","0.8%","1%","0.3%","0.7%","0.6%","0.9%","0.7%"
471,"6%","4.7%","3.8%","3.9%","3.4%","2.2%","3.6%","4.7%","6.1%","8%","6.2%"
472,"2.6%","2.3%","1.3%","1.4%","1.5%","0.7%","0.4%","0.6%","0.7%","1.5%","1.9%"
473,"6.9%","5.4%","0.1%","0.1%","5.2%","4.3%","3.1%","4.6%","4.4%","6.3%","6.6%"
474,"2.1%","3.1%","2%","2%","2.7%","3.3%","1.8%","3.4%","4.8%","5.3%","5.4%"
475,"0.6%","0.2%","0%","0%","0.3%","0.3%","0%","0%","0.5%","0.5%","0.6%"
476,"14.6%","12.7%","14.3%","14.8%","10.9%","9.5%","9.6%","11.9%","13.8%","17.2%","15.8%"
