NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023
50,"41.3%","43.7%","47.3%","51%","40.5%","38.2%","28.8%","33.1%","37.2%","41.2%","37.9%"
51,"12%","9.8%","9.5%","9.6%","5.9%","3.6%","2.5%","3.7%","5.5%","7.2%","6.8%"
52,"51.8%","42.2%","41.5%","43.3%","34.8%","24.7%","24.4%","27.3%","31.6%","38%","32.9%"
53,"36.2%","32.7%","35.7%","37.8%","33.4%","30.2%","21.7%","26.6%","32.1%","44.7%","45%"
54,"32.7%","27.3%","31.9%","32.8%","27.4%","26.4%","19.2%","24%","28.1%","33.1%","31.7%"
55,"6.1%","5.9%","7%","7.1%","4.2%","3.4%","3.3%","5.5%","5.6%","6.8%","7.3%"
56,"11.2%","7.3%","6.1%","7%","6.1%","4.4%","3.9%","6.7%","6.1%","11%","8.2%"
57,"37.3%","37%","43.9%","45.5%","38.1%","38.4%","27.1%","34.2%","38.3%","43.6%","39.4%"
58,"32.1%","27.6%","38.3%","40.2%","34%","14.7%","31.1%","38.5%","39.7%","45%","41.1%"
59,"24.4%","26.4%","28.9%","28.9%","28.3%","26.5%","18.4%","24.8%","29.9%","36.8%","33.9%"
60,"11.5%","13.8%","13.9%","11.9%","7.6%","6.7%","6.4%","10.1%","15.8%","22.6%","22.1%"
61,"9.9%","10.3%","15.1%","15.3%","13.2%","11.6%","11%","12.3%","19.2%","25%","18.3%"
62,"0.1%","0.1%","0%","0%","--","0%","0.1%","0.1%","0.2%","0.4%","0.6%"
64,"14.9%","13.7%","14.7%","15%","11.3%","9.5%","8.9%","12.1%","16.6%","20.9%","19.3%"
65,"5.4%","3.6%","3.1%","4.2%","5%","4.4%","6.6%","10.1%","15.7%","23.4%","22%"
66,"9.2%","8.3%","6.2%","6.4%","5.8%","5.4%","6.4%","9.9%","14%","18.1%","18.4%"
67,"9.8%","12%","4.4%","5%","3.3%","4.8%","5.5%","7.9%","11.8%","19.2%","18.9%"
68,"15.7%","17.9%","18.1%","18.6%","14.9%","13.8%","11.3%","16.4%","19.7%","26.2%","22.1%"
69,"1.6%","1.1%","0.3%","0.2%","0.1%","0.4%","0.6%","0.6%","0.8%","2.2%","3%"
70,"35.9%","36.7%","44.8%","45.7%","40.6%","41.9%","27.1%","30.7%","35.8%","42%","37.4%"
71,"32.9%","27.5%","25.2%","25.7%","20.9%","19.2%","15.8%","19.6%","25.3%","33.1%","32.2%"
72,"3.5%","6.8%","4.5%","4.9%","5.1%","3.4%","7.5%","10.5%","15.4%","21.4%","19.5%"
73,"21.5%","19.1%","20.9%","21%","17.6%","15.7%","11.4%","16%","18.4%","24.9%","23.8%"
74,"8.3%","6.1%","5.4%","5.5%","4.7%","3.3%","4.2%","4.8%","6.5%","8.9%","7.5%"
75,"3.9%","2.6%","3.4%","3.5%","2.4%","2.2%","2.7%","4.3%","5.6%","8.2%","6.2%"
76,"7.8%","5.8%","4.3%","4.3%","4.6%","4.1%","6.3%","8.8%","11.4%","15.6%","16.8%"
77,"15.6%","10.3%","11%","11.4%","10.3%","9.7%","9.4%","12.9%","15.2%","21.9%","21%"
78,"11.8%","12.2%","11%","12%","9.1%","8.6%","7.1%","9.8%","11.8%","18.6%","17.2%"
79,"43.4%","28.7%","39.2%","39.8%","26.3%","25.7%","23.3%","27.6%","32.7%","35.3%","30.5%"
80,"12.1%","9%","9.4%","9.6%","8.6%","8.2%","9.1%","14.1%","19.2%","23.1%","24.9%"
81,"8.6%","5.4%","6.4%","6.8%","6.1%","6.1%","9.1%","10.1%","13.9%","20.4%","20%"
82,"8.8%","6.8%","8%","6.5%","5.9%","5.6%","6.4%","9.2%","11.2%","15.1%","12.8%"
83,"29.1%","51.8%","58.7%","59.1%","47.3%","42.9%","12.6%","14.4%","16.6%","22.6%","20.2%"
84,"14.2%","15.2%","11.2%","12.8%","13.6%","4.7%","8.4%","9.1%","11.6%","18.8%","16.2%"
85,"54.1%","54%","58.3%","61.6%","51.2%","48.4%","37.8%","48.6%","54.2%","62.2%","62.3%"
86,"40%","31.3%","30.4%","33%","23.1%","21.9%","21.6%","25.5%","31.2%","37.9%","32%"
87,"38.5%","35.7%","25.1%","26.1%","13.5%","12.1%","14.8%","18.2%","21.1%","21.6%","17.7%"
88,"50.3%","45.4%","59%","61.2%","48.9%","43.8%","30.7%","38.5%","44.6%","53.2%","48%"
89,"20.3%","19%","24.9%","25.9%","21.7%","19.9%","22%","28%","30.4%","34.7%","30.2%"
90,"29.5%","25.4%","28.8%","30.2%","19.5%","18.1%","15.9%","20.1%","24.4%","26.7%","28%"
91,"22.7%","20.2%","22.1%","23.5%","19.7%","16.6%","13.9%","18.4%","18.3%","24%","23.5%"
92,"5.9%","4.9%","6%","6.1%","6.2%","5.4%","6.2%","9%","11.1%","16.7%","16.3%"
93,"24.4%","20.9%","23.5%","23.8%","18%","15.7%","16.6%","23%","27.5%","35.5%","35.3%"
94,"35.8%","33.9%","35.8%","37%","30.4%","26.3%","21.4%","25.7%","31%","42.8%","55.9%"
95,"10.6%","7.8%","9.6%","10%","11.8%","10%","8.8%","11.8%","15.2%","19.8%","16.4%"
96,"13.8%","12.8%","11%","10.8%","8.9%","7.6%","7.9%","12.7%","15.5%","19.6%","17.9%"
