NPA,2011,2013,2015,2016,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
347,"5","4","3","4","1","0","0","0","0","13","13","12","14","3","0","0","2","3"
348,"0","0","0","0","0","0","0","0","0","0","1","5","4","1","5","4","4","4"
349,"0","1","0","0","0","0","0","0","0","1","4","0","1","0","0","0","0","1"
350,"0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","0","0","0"
351,"0","0","0","1","0","0","1","0","1","1","2","1","3","2","0","4","2","3"
352,"0","0","0","0","0","0","0","0","0","1","2","0","2","1","1","3","1","1"
353,"0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","1","6","6"
354,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","2"
355,"0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","0","1","1"
356,"0","0","0","0","0","0","0","0","0","1","2","2","0","0","0","1","0","0"
357,"0","0","0","0","0","0","0","0","0","3","2","6","3","1","2","1","0","0"
358,"1","0","0","0","0","0","0","0","0","6","1","0","0","0","4","2","0","0"
359,"0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","4","0","0"
360,"0","1","0","0","0","0","0","0","0","3","8","5","4","2","0","1","4","4"
361,"3","7","7","5","1","2","1","0","1","15","30","31","27","11","18","12","8","12"
362,"1","1","2","2","2","1","1","1","1","14","15","32","32","20","7","12","12","17"
363,"3","7","7","5","3","2","2","2","2","34","85","79","66","34","26","25","19","24"
364,"0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
365,"1","2","1","1","0","0","0","0","1","7","14","8","6","2","4","1","2","6"
366,"0","1","1","1","0","1","0","0","0","1","4","6","4","2","3","0","1","1"
367,"0","0","0","0","0","0","0","0","0","1","10","3","5","3","3","4","7","12"
368,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
369,"2","5","5","3","2","1","1","0","0","9","24","22","15","8","4","4","2","5"
370,"6","9","4","5","1","3","2","2","3","72","106","51","55","18","38","25","29","34"
371,"1","3","3","3","1","1","1","1","1","23","64","67","65","31","18","30","20","30"
372,"0","0","0","0","0","0","0","0","0","0","3","5","7","0","5","4","1","2"
373,"0","0","1","0","0","0","0","0","0","4","2","6","4","0","1","1","2","2"
374,"2","5","6","7","2","2","3","2","4","28","62","70","78","23","22","27","20","41"
375,"0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0"
376,"0","0","0","0","0","0","0","0","0","3","4","3","6","4","1","2","1","4"
377,"0","0","0","0","0","0","0","0","0","4","6","4","3","2","2","2","3","4"
378,"0","1","1","0","0","0","0","0","0","3","20","14","5","8","3","4","4","5"
379,"0","0","0","0","0","0","0","0","0","0","1","3","2","0","3","0","0","0"
380,"0","0","0","0","0","0","0","0","0","0","3","3","3","1","2","0","3","3"
381,"0","0","0","0","0","0","0","0","0","5","7","2","3","2","8","0","6","6"
382,"6","5","5","4","1","2","1","1","1","55","51","51","37","12","18","12","9","11"
383,"1","1","1","1","0","0","0","0","0","15","15","23","21","5","4","4","2","4"
385,"3","5","5","4","2","2","2","2","2","58","102","92","82","35","35","38","37","48"
386,"2","3","4","2","0","1","1","0","0","17","29","31","20","2","9","8","1","2"
387,"2","2","2","2","2","1","1","1","1","18","21","19","22","15","9","10","7","15"
388,"1","2","3","4","1","0","0","0","0","5","17","25","35","8","4","2","0","1"
389,"6","1","1","1","0","1","1","0","1","207","50","30","32","10","23","17","13","19"
390,"1","0","1","1","0","0","0","1","1","6","2","9","4","1","2","0","5","6"
391,"0","0","0","0","0","0","0","0","0","0","1","3","1","0","0","0","1","1"
392,"0","0","0","0","0","0","0","0","0","15","6","5","5","0","3","3","1","3"
393,"0","0","0","0","0","0","0","0","0","5","14","14","13","2","1","5","6","7"
394,"0","3","0","1","1","0","0","0","1","5","46","5","10","12","4","3","6","8"
395,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
396,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
397,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
398,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
399,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
400,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
401,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
402,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
403,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
404,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
405,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
406,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
407,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
408,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
409,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
410,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
411,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
412,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
413,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
416,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
417,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
418,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
419,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
420,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
421,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
422,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
423,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
424,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
425,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
426,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
428,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
430,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
431,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
432,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
433,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
434,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
435,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
436,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
437,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
438,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
442,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
443,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
444,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
445,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
446,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
447,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
448,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
449,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
450,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
451,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
452,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
453,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
454,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
455,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
456,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
457,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
458,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
459,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
460,"--","--","--","--","--","--","--","0","--","0","0","0","0","0","0","0","0","0"
462,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
463,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
464,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
465,"--","--","--","--","--","--","--","0","--","0","0","0","0","0","0","0","0","0"
466,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
467,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
468,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
469,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
470,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
471,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
472,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
473,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
474,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
475,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
476,"0","1","1","0","0","0","0","0","0","37","46","51","42","22","18","13","23","0"
