NPA,2011,2013,2015,2016,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
80,"0","0","0","0","0","0","0","0","0","2","2","0","0","1","0","2","2","3"
81,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
82,"0","0","0","0","0","0","0","0","0","0","0","1","2","3","2","2","0","2"
83,"1","1","2","3","2","0","1","0","0","2","3","6","9","6","1","3","0","1"
84,"0","1","1","0","0","1","0","0","0","1","4","2","1","0","3","0","2","2"
85,"5","5","6","5","2","2","1","2","4","39","36","48","42","17","18","8","16","29"
86,"2","4","12","3","1","0","0","1","1","18","43","137","29","9","10","11","16","23"
87,"0","3","2","1","1","1","1","1","1","3","18","15","8","6","9","7","5","10"
88,"3","4","5","6","2","1","1","1","1","15","20","25","29","11","4","7","5","6"
89,"1","1","1","1","1","0","0","0","0","7","7","3","4","4","2","1","0","0"
90,"2","2","1","2","0","1","0","0","1","18","17","9","18","2","6","3","4","7"
91,"0","1","0","0","0","0","0","0","0","2","7","4","4","1","1","4","1","4"
92,"0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0"
93,"1","1","0","1","1","3","1","0","0","6","6","0","5","4","16","6","1","1"
94,"0","1","0","1","1","1","0","0","1","1","4","0","4","2","2","1","2","3"
95,"0","0","0","0","0","0","0","0","0","0","2","1","1","2","1","0","0","0"
96,"0","0","0","0","0","0","0","0","0","5","3","5","4","5","3","2","5","5"
97,"0","0","0","0","0","1","0","0","0","3","2","2","1","1","12","4","0","0"
98,"0","0","0","0","0","0","0","0","0","2","2","4","1","0","0","0","1","1"
99,"0","0","1","1","0","0","0","0","1","1","2","4","4","3","1","1","3","4"
100,"1","3","2","2","0","1","1","1","1","4","18","12","16","3","5","6","5","8"
101,"2","3","2","2","0","1","1","0","1","11","23","16","12","3","4","6","1","4"
102,"1","1","2","2","0","0","0","0","0","3","3","9","8","0","1","0","0","2"
103,"1","1","1","1","0","0","1","0","1","7","7","4","4","0","3","4","0","6"
105,"0","1","0","0","0","0","0","0","0","1","3","3","2","0","1","1","1","1"
106,"2","2","1","1","0","0","1","1","2","18","11","10","10","2","2","5","10","12"
107,"0","0","0","0","0","1","0","1","1","0","3","2","2","3","4","1","5","8"
108,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
109,"0","0","0","0","0","0","--","0","0","1","1","0","0","0","0","0","1","3"
110,"0","0","0","0","0","0","0","0","0","1","3","2","1","2","1","2","0","1"
111,"0","0","0","0","0","0","0","0","0","0","2","3","3","2","3","3","0","0"
112,"0","0","0","0","0","0","0","0","0","0","2","2","1","1","1","0","1","1"
113,"0","1","0","0","0","0","0","0","0","0","9","3","6","2","1","1","4","6"
114,"2","2","3","4","2","2","0","1","1","10","8","13","16","9","7","2","3","4"
115,"0","0","0","0","0","0","0","0","0","1","0","2","1","1","1","1","2","2"
116,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
117,"0","0","1","0","0","0","0","0","0","3","1","9","6","0","1","0","2","3"
118,"0","0","0","0","--","--","--","--","--","2","0","1","1","0","0","0","0","0"
119,"0","1","1","2","0","0","0","0","0","1","3","7","9","1","0","0","3","4"
120,"2","4","5","4","1","1","1","1","2","12","24","28","23","6","4","5","6","11"
121,"1","2","1","0","0","1","0","1","1","10","17","5","4","1","8","3","6","6"
122,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
123,"1","1","1","1","1","1","1","1","1","9","8","14","16","9","8","6","6","8"
124,"1","2","3","2","1","1","1","1","1","12","16","24","15","13","12","9","13","15"
125,"0","1","0","0","1","1","0","0","0","3","6","3","4","8","7","6","6","6"
126,"0","1","0","1","0","0","0","0","0","0","2","1","2","0","0","0","1","1"
