NPA,2023
327,"74.1%"
328,"87.6%"
329,"83.4%"
330,"88.9%"
331,"88.9%"
332,"81.4%"
333,"71.3%"
334,"100%"
335,"79.6%"
336,"90.7%"
337,"94.8%"
338,"86%"
339,"92.4%"
343,"87.6%"
344,"90%"
345,"90.8%"
346,"70.6%"
347,"88.4%"
348,"83.3%"
349,"90%"
350,"89.9%"
351,"91.2%"
352,"91.1%"
353,"97.3%"
354,"77.6%"
355,"87.3%"
356,"97.3%"
357,"86.2%"
358,"82.1%"
359,"86.5%"
360,"86.5%"
361,"85.2%"
362,"53.7%"
363,"54.3%"
364,"89.3%"
365,"90.5%"
366,"87.1%"
367,"90.4%"
368,"87.5%"
369,"57.7%"
370,"64.4%"
371,"55.8%"
372,"89.8%"
373,"93.6%"
374,"45.9%"
375,"89.8%"
376,"76.7%"
377,"93.3%"
378,"88.3%"
379,"91.6%"
380,"90.5%"
381,"92.5%"
382,"92.3%"
383,"75.9%"
385,"64.9%"
386,"82.7%"
387,"63%"
388,"80.2%"
389,"77.1%"
390,"65.5%"
391,"77.7%"
392,"91.2%"
393,"95.1%"
394,"83.9%"
395,"86.6%"
396,"81.6%"
397,"92.1%"
398,"70.7%"
399,"81.8%"
400,"85.3%"
401,"85.6%"
402,"86.7%"
403,"84.6%"
404,"65.6%"
405,"87.5%"
406,"89.8%"
407,"88%"
408,"87.3%"
409,"99.1%"
410,"67%"
411,"85.7%"
412,"83.6%"
413,"96.3%"
416,"87.5%"
417,"88.1%"
418,"100%"
419,"96.6%"
420,"86.6%"
421,"93.7%"
422,"90.6%"
423,"91.4%"
424,"100%"
425,"92.6%"
426,"90.4%"
428,"95.9%"
430,"61.5%"
431,"83.6%"
432,"88.8%"
433,"90.8%"
434,"89.8%"
435,"86.7%"
436,"95.2%"
437,"80.1%"
438,"93.5%"
442,"96.2%"
443,"80.8%"
444,"81.8%"
445,"84.6%"
446,"76.7%"
447,"94.7%"
448,"89.6%"
449,"96.9%"
450,"86.6%"
451,"97%"
452,"94.6%"
453,"83.2%"
454,"88.5%"
455,"94.7%"
456,"66.5%"
457,"93.2%"
458,"93.2%"
459,"81.3%"
460,"90.9%"
462,"73.1%"
463,"81.3%"
464,"87.3%"
465,"89.5%"
466,"82.9%"
467,"97.2%"
468,"100%"
469,"95.1%"
470,"89.9%"
471,"86.1%"
472,"96%"
473,"77.2%"
474,"90.1%"
475,"95.4%"
476,"82.5%"
