NPA,2013,2015,2016,2017,2018,2022,2023,2025
2,"2","2","2","2","2","2","2","2"
3,"2","2","2","2","2","2","2","2"
4,"2","2","2","2","2","2","2","2"
5,"2","2","2","2","2","2","2","2"
6,"2","2","2","2","2","2","2","2"
7,"2","2","2","2","2","2","2","2"
8,"1","1","1","1","1","2","2","2"
9,"2","2","2","2","2","2","2","2"
10,"2","2","2","2","2","2","2","2"
11,"2","2","2","2","2","2","2","2"
12,"1","1","1","1","1","2","1","1"
13,"2","2","2","2","2","2","2","2"
14,"1","1","1","1","1","2","2","2"
15,"2","2","2","2","2","2","2","2"
16,"1","1","2","1","1","2","2","2"
17,"1","1","1","1","1","1","2","2"
18,"2","2","2","2","2","2","2","2"
19,"2","2","2","2","2","2","2","2"
20,"1","1","2","1","1","1","2","2"
21,"1","1","1","1","1","1","1","1"
22,"1","2","1","1","1","2","2","2"
23,"2","2","2","2","2","2","2","2"
24,"2","2","2","2","2","2","2","2"
25,"2","2","2","2","2","2","2","2"
26,"1","1","1","1","1","--","1","1"
27,"1","1","1","1","1","1","1","1"
28,"2","2","2","2","2","2","2","2"
29,"2","2","2","2","2","2","2","2"
30,"2","2","2","2","2","2","2","2"
31,"2","2","2","2","2","2","2","2"
32,"1","1","1","1","1","1","1","1"
33,"1","1","1","1","1","2","2","2"
34,"1","1","1","1","1","2","2","1"
35,"1","1","1","1","1","--","--","1"
36,"2","2","2","2","2","2","2","2"
37,"2","2","2","2","2","2","2","2"
38,"1","1","1","1","1","2","2","1"
39,"2","2","2","2","2","2","2","2"
40,"1","1","1","1","1","2","2","2"
41,"2","2","2","1","1","2","2","2"
42,"1","1","1","1","1","1","1","1"
43,"1","1","1","1","1","2","2","2"
44,"1","1","1","1","1","1","1","1"
45,"1","1","1","1","1","2","2","2"
46,"2","2","2","1","1","2","2","2"
47,"1","2","2","2","2","2","2","2"
48,"1","1","1","1","1","1","1","1"
49,"1","1","1","1","1","1","1","1"
50,"2","2","2","2","2","2","2","2"
51,"2","2","2","2","2","2","2","2"
52,"1","1","1","1","1","1","2","1"
53,"2","2","2","2","2","2","2","2"
54,"2","2","2","2","2","2","2","2"
55,"2","1","2","1","1","1","2","1"
56,"1","1","2","1","1","1","1","2"
57,"2","1","1","1","1","2","2","2"
58,"1","1","1","1","1","2","2","2"
59,"2","1","2","2","2","2","2","2"
60,"1","1","1","1","1","1","2","1"
61,"2","2","1","1","1","2","2","2"
62,"--","1","2","2","2","2","2","3"
64,"--","1","1","1","1","1","2","1"
65,"2","2","1","1","1","2","2","2"
66,"1","1","1","1","1","2","2","1"
67,"1","1","1","1","1","1","2","1"
68,"1","1","1","1","1","1","1","1"
69,"2","1","2","2","2","2","2","2"
70,"2","2","2","2","2","2","2","2"
71,"2","2","2","2","2","2","2","2"
72,"2","2","1","1","1","2","2","1"
73,"1","1","1","1","1","--","2","1"
74,"2","2","2","2","2","1","2","2"
75,"1","1","1","1","1","1","1","1"
76,"1","1","1","1","1","1","1","1"
77,"1","1","1","1","1","1","1","1"
78,"1","1","1","1","1","1","1","1"
79,"1","1","1","1","1","1","1","1"
80,"1","1","1","1","1","2","2","1"
81,"1","1","1","1","1","1","1","1"
82,"2","1","1","1","1","1","1","1"
83,"1","1","1","1","1","--","1","1"
84,"1","1","1","1","1","2","2","1"
85,"2","2","2","2","2","2","2","2"
86,"1","1","1","1","1","1","2","2"
87,"2","2","2","2","2","2","2","2"
88,"2","2","2","2","2","2","2","2"
89,"1","1","2","2","2","2","2","2"
90,"2","2","2","2","2","2","2","2"
91,"1","1","1","1","1","1","1","1"
92,"1","1","1","1","1","1","1","1"
93,"1","1","1","1","1","2","2","1"
94,"1","1","2","1","1","2","2","1"
95,"1","1","1","1","1","1","2","1"
96,"1","1","1","1","1","1","2","1"
97,"1","1","1","1","1","1","1","1"
98,"1","1","1","1","1","1","1","1"
99,"2","2","2","2","2","2","2","2"
100,"1","1","1","1","1","1","1","2"
101,"2","2","2","2","2","2","2","2"
102,"1","1","1","1","1","1","1","1"
103,"1","1","1","2","2","2","2","2"
105,"2","1","2","1","1","2","2","2"
106,"1","1","1","1","1","1","2","2"
107,"1","1","1","1","1","1","2","2"
108,"1","1","1","1","1","--","--","1"
109,"1","1","1","1","1","--","1","1"
110,"1","1","1","1","1","1","2","1"
111,"1","1","1","1","1","1","1","1"
112,"1","1","1","1","1","1","1","1"
113,"1","1","1","1","1","--","2","1"
114,"1","1","1","1","1","2","2","2"
115,"1","1","2","2","2","2","2","2"
116,"1","1","1","1","1","--","--","1"
117,"1","1","2","1","1","2","2","2"
118,"1","1","1","1","1","--","--","1"
119,"1","1","1","1","1","2","2","2"
120,"1","1","1","1","1","1","1","2"
121,"2","2","2","2","2","2","2","2"
122,"1","1","1","1","1","2","2","1"
123,"1","1","1","1","1","1","2","1"
124,"2","2","2","2","2","2","2","2"
125,"1","2","2","2","2","2","2","2"
126,"2","2","1","1","1","2","2","2"
127,"1","1","1","1","1","1","1","2"
128,"2","2","2","2","2","2","2","2"
129,"2","1","2","1","1","2","2","2"
130,"1","1","1","1","1","--","1","1"
131,"1","1","1","1","1","1","1","2"
132,"2","2","2","2","2","2","2","2"
133,"1","1","2","2","2","1","2","2"
134,"1","1","1","1","1","1","1","2"
135,"1","1","1","1","1","1","1","1"
136,"1","1","1","1","1","1","1","1"
137,"1","1","1","1","1","1","1","1"
138,"1","1","1","1","1","1","1","1"
139,"1","1","1","1","1","1","2","1"
140,"1","1","1","1","1","1","2","1"
