NPA,2023
2,"40.3%"
3,"39.2%"
4,"100%"
5,"14.9%"
6,"37.3%"
7,"84.4%"
8,"43.9%"
9,"84.7%"
10,"44.1%"
11,"77.9%"
12,"6.7%"
13,"34.2%"
14,"40%"
15,"97.6%"
16,"50.2%"
17,"46.9%"
18,"46.5%"
19,"89.1%"
20,"76.2%"
21,"21.7%"
22,"17.1%"
23,"23%"
24,"90.4%"
25,"83.7%"
26,"84.2%"
27,"70.4%"
28,"78.5%"
29,"81.1%"
30,"10.3%"
31,"76.3%"
32,"92.5%"
33,"13.8%"
34,"74.7%"
35,"92.7%"
36,"81.7%"
37,"54.7%"
38,"83.9%"
39,"73.4%"
40,"42.8%"
41,"52.8%"
42,"68.5%"
43,"62.5%"
44,"41.3%"
45,"62.5%"
46,"38.7%"
47,"0%"
48,"63.4%"
49,"60.9%"
50,"35.7%"
51,"61.1%"
52,"6.6%"
53,"22.9%"
54,"90%"
55,"81%"
56,"63.1%"
57,"41.4%"
58,"44.7%"
59,"30.7%"
60,"0.9%"
61,"71.2%"
62,"--"
64,"11%"
65,"0%"
66,"9.3%"
67,"0%"
68,"39.7%"
69,"41.6%"
70,"68%"
71,"27.3%"
72,"26.2%"
73,"74.6%"
74,"66.4%"
75,"60%"
76,"89.2%"
77,"47.3%"
78,"66%"
79,"7%"
80,"24.3%"
81,"88.6%"
82,"40.9%"
83,"37%"
84,"42.4%"
85,"41.6%"
86,"6.8%"
87,"42.2%"
88,"73.5%"
89,"51.2%"
90,"22.2%"
91,"50.5%"
92,"12.3%"
93,"0%"
94,"56.6%"
95,"62.6%"
96,"41.2%"
97,"59%"
98,"88.4%"
99,"76.1%"
100,"51.7%"
101,"8.4%"
102,"59.2%"
103,"14%"
105,"86.3%"
106,"2.9%"
107,"14.5%"
108,"58.7%"
109,"71.4%"
110,"53.4%"
111,"47.6%"
112,"74.1%"
113,"76.2%"
114,"4.4%"
115,"70.8%"
116,"60.4%"
117,"70.6%"
118,"91.9%"
119,"67.1%"
120,"38.1%"
121,"36.6%"
122,"--"
123,"57.9%"
124,"28.4%"
125,"61.2%"
126,"51.3%"
127,"22.5%"
128,"27.4%"
129,"87%"
130,"89.1%"
131,"77.7%"
132,"51.2%"
133,"53.6%"
134,"28.8%"
135,"12.3%"
136,"77.5%"
137,"54.7%"
138,"81.8%"
139,"43%"
140,"59.4%"
141,"54.9%"
142,"31.5%"
143,"90.8%"
144,"32%"
145,"59.8%"
146,"63.2%"
147,"59.5%"
148,"79.4%"
149,"77.6%"
150,"49.8%"
151,"79.5%"
152,"79.4%"
153,"82.7%"
154,"50.5%"
155,"56.5%"
156,"79.2%"
157,"24.2%"
158,"55.8%"
159,"24.6%"
160,"67.7%"
161,"8.1%"
162,"65.4%"
163,"46.5%"
164,"25.9%"
165,"14.7%"
166,"43%"
167,"35%"
168,"61.5%"
169,"56.5%"
170,"82.7%"
171,"37.8%"
172,"46.8%"
173,"65.6%"
174,"89.8%"
175,"86.4%"
176,"88.5%"
177,"93.6%"
178,"14.2%"
179,"94.5%"
180,"80.7%"
181,"60.6%"
182,"81.3%"
183,"16%"
184,"85.9%"
185,"0.9%"
186,"81.2%"
187,"51.2%"
188,"52.1%"
189,"1.7%"
190,"37.4%"
191,"60.1%"
192,"66.4%"
193,"50.6%"
194,"72.7%"
195,"24.1%"
196,"67.5%"
197,"51.7%"
198,"55.5%"
199,"9.2%"
200,"28.2%"
201,"80.8%"
202,"53.8%"
203,"85.8%"
204,"76.1%"
205,"100%"
206,"45.3%"
207,"2.5%"
208,"98.7%"
209,"55.2%"
210,"19.2%"
211,"76.8%"
212,"45.7%"
213,"72.5%"
215,"100%"
216,"67.5%"
217,"96.5%"
218,"47.4%"
219,"18.4%"
220,"50.3%"
221,"26.5%"
222,"100%"
223,"68.9%"
224,"38.1%"
225,"64%"
226,"52.5%"
227,"72.1%"
228,"89.3%"
229,"86.3%"
230,"4.7%"
231,"45.6%"
232,"47.4%"
233,"38%"
234,"64.7%"
235,"64.3%"
236,"48.2%"
237,"69.9%"
238,"68.2%"
240,"44.2%"
241,"93.9%"
242,"61.3%"
243,"98.2%"
244,"73.6%"
245,"37%"
246,"26.7%"
247,"11.6%"
248,"0%"
249,"8.9%"
250,"76%"
251,"80.6%"
252,"77.4%"
253,"64.3%"
254,"12.9%"
255,"48.6%"
256,"94%"
257,"39.6%"
258,"72.2%"
259,"24.2%"
260,"56.1%"
261,"85.7%"
262,"97.1%"
263,"91.1%"
264,"46.7%"
265,"71.7%"
266,"72.7%"
267,"81%"
268,"65.5%"
269,"66.7%"
270,"0%"
271,"79.6%"
272,"0%"
273,"70.1%"
274,"0%"
275,"58.6%"
276,"90.5%"
277,"91.9%"
278,"9.4%"
279,"46.7%"
280,"30.6%"
281,"57.3%"
282,"62.2%"
283,"58.1%"
284,"47.6%"
285,"--"
286,"72.6%"
287,"1%"
288,"70.7%"
289,"78.2%"
290,"38%"
291,"7.4%"
292,"32%"
293,"39.4%"
294,"15.5%"
295,"54%"
296,"87.6%"
297,"100%"
298,"12.3%"
299,"59.9%"
300,"8.9%"
301,"83.9%"
302,"56.1%"
303,"8%"
304,"2%"
305,"95%"
306,"4.8%"
307,"51.7%"
308,"80.5%"
309,"93.7%"
310,"87.4%"
311,"40%"
312,"30.2%"
313,"62.5%"
314,"29.6%"
315,"16.1%"
316,"35.6%"
317,"0%"
318,"61.5%"
319,"71.6%"
320,"92.6%"
321,"24.1%"
322,"72.4%"
323,"75.5%"
324,"94.4%"
325,"58.8%"
326,"55.1%"
327,"46.3%"
328,"70.6%"
329,"71.2%"
330,"71.2%"
331,"13.2%"
332,"81.2%"
333,"76.7%"
334,"0%"
335,"82.2%"
336,"50.5%"
337,"84.7%"
338,"0%"
339,"5.2%"
343,"50.8%"
344,"65.6%"
345,"36.3%"
346,"42.2%"
347,"52.6%"
348,"85.6%"
349,"26.7%"
350,"62%"
351,"70.3%"
352,"36.9%"
353,"97.5%"
354,"11%"
355,"20.2%"
356,"78.1%"
357,"56.8%"
358,"36.5%"
359,"97.4%"
360,"87.5%"
361,"23.5%"
362,"39.8%"
363,"23.7%"
364,"95%"
365,"58.9%"
366,"35.9%"
367,"34%"
368,"63.4%"
369,"36.3%"
370,"13.8%"
371,"44.5%"
372,"78.8%"
373,"95.2%"
374,"38.1%"
375,"92.9%"
376,"64.5%"
377,"76.7%"
378,"51.7%"
379,"99.8%"
380,"90.7%"
381,"36%"
382,"62.4%"
383,"56.2%"
385,"48.8%"
386,"61.9%"
387,"52.7%"
388,"30.8%"
389,"40.4%"
390,"49%"
391,"94.4%"
392,"86.4%"
393,"55.7%"
394,"53.3%"
395,"43%"
396,"94.9%"
397,"7.5%"
398,"72.2%"
399,"48.6%"
400,"95.8%"
401,"85%"
402,"91%"
403,"96.5%"
404,"44%"
405,"72.8%"
406,"87%"
407,"95.8%"
408,"69.5%"
409,"92.3%"
410,"81.7%"
411,"69.5%"
412,"94%"
413,"96.5%"
416,"24.2%"
417,"78.2%"
418,"79.8%"
419,"99%"
420,"64.7%"
421,"86.6%"
422,"41.4%"
423,"95.6%"
424,"94.1%"
425,"97.6%"
426,"54.4%"
428,"91.3%"
430,"43%"
431,"70%"
432,"93.9%"
433,"100%"
434,"94.3%"
435,"88.1%"
436,"94.5%"
437,"68.1%"
438,"69.5%"
442,"81.3%"
443,"83.3%"
444,"73.7%"
445,"83.8%"
446,"76%"
447,"79.9%"
448,"44.7%"
449,"97%"
450,"90.5%"
451,"95.6%"
452,"94.3%"
453,"66.8%"
454,"90.1%"
455,"88.2%"
456,"36.2%"
457,"100%"
458,"95.6%"
459,"92.2%"
460,"68.7%"
462,"82%"
463,"49.8%"
464,"64.6%"
465,"48.1%"
466,"81.2%"
467,"78.7%"
468,"100%"
469,"98.2%"
470,"81.4%"
471,"30.6%"
472,"78.5%"
473,"73.4%"
474,"78.7%"
475,"77.5%"
476,"26.9%"
